size_bytes,rapidhash_ns,rapidhash_x2_ns,bfhash_ns,speedup_vs_rh2
8,14.3592,15.1134,12.1804,1.2408
12,14.2285,14.7873,12.1488,1.2172
16,14.2317,14.8197,12.1538,1.2194
17,16.1759,16.8515,12.4419,1.3544
20,15.7230,16.8691,11.3642,1.4844
24,15.5563,16.4238,12.4422,1.3200
28,15.7133,16.8563,12.4447,1.3545
32,16.1743,16.8488,10.2692,1.6407
40,18.1525,18.6258,15.5522,1.1976
48,18.1260,18.7592,15.5573,1.2058
64,20.2210,20.4485,15.3090,1.3357
96,23.9446,24.3934,20.0570,1.2162
112,25.8107,26.9168,23.0114,1.1697
128,18.0364,19.6831,15.2053,1.2945
144,19.8158,22.4909,16.4451,1.3676
224,29.5440,32.6384,26.4611,1.2334
240,20.3814,27.4523,17.2590,1.5906
256,22.0500,30.2226,19.0585,1.5858
352,23.0416,35.8985,20.6074,1.7420
1024,52.5914,89.3024,50.1282,1.7815
